product_id,name,price,image,category,brand,description
1,Rolex Submariner Ceramic Bezel,20500,watches/rolex 1.jpeg,Watches,Rolex,"A legendary diver's watch with a unidirectional rotatable bezel and Cerachrom ceramic insert. Water-resistant to 300 metres, powered by the calibre 3235 movement. A timeless icon of precision and luxury."
2,Rolex Datejust Stainless Steel,22000,watches/rolex 2.jpeg,Watches,Rolex,"The quintessential dress watch. Features a classic Jubilee bracelet, Cyclops lens over the date, and a scratch-resistant sapphire crystal. A symbol of refined taste."
3,Rolex Cosmograph Daytona,35100,watches/rolex 3.jpeg,Watches,Rolex,"Born for the race track, perfected for everyday luxury. The Daytona features a tachymetric scale and three chronograph counters. One of the most coveted watches in the world."
4,Rolex Yacht-Master,45000,watches/rolex 4.jpeg,Watches,Rolex,"Designed for seafaring adventurers, the Yacht-Master combines nautical elegance with Rolex's uncompromising standards. Features a bidirectional rotatable bezel and supple Oysterflex bracelet."
5,Rolex Day-Date Rose Gold,12000,watches/rolex 5.jpeg,Watches,Rolex,"The watch of presidents. Crafted in 18ct Everose gold, the Day-Date displays both the day and date. An emblem of achievement worn by world leaders and visionaries."
6,Hermes Birkin 30 Cacao,25000,bags/birkin 1.jpeg,Bags,Hermes,"The ultimate status symbol in rich Cacao Togo leather. Hand-stitched by a single artisan in France, the Birkin 30 is more than a bag — it is a lifelong investment."
7,Hermes Birkin 30 Tin Alligator,48000,bags/birkin 2.jpeg,Bags,Hermes,Exceptional rarity in Tin Porosus Alligator leather. The luminous sheen and natural pattern of each scale make every piece one-of-a-kind.
8,Hermes Birkin 30 Caramel,22000,bags/birkin 3.jpeg,Bags,Hermes,"A warm and versatile Caramel Clemence leather Birkin. Soft, supple, and scratch-resistant."
9,Hermes Birkin 30 Emerald Alligator,40000,bags/birkin 4.jpeg,Bags,Hermes,Deep Emerald Porosus Alligator with gold hardware. A jewel-toned statement piece that commands attention.
10,Hermes Birkin 30 Midnight Alligator,46000,bags/birkin 5.jpeg,Bags,Hermes,"Midnight Blue Porosus Alligator with palladium hardware. Dramatic, sophisticated, and impossibly rare."
11,Gucci Wine n Dance Heels,7800,shoes/gucci 1.jpeg,Shoes,Gucci,"Bold and theatrical, these Gucci heels in rich burgundy leather are made for the woman who commands every room. Featuring the iconic double-G hardware and signature stiletto heel."
12,Gucci Corporate Beige Flops,12500,shoes/gucci 2.jpeg,Shoes,Gucci,Effortless corporate luxury in nude beige. Crafted from supple calfskin with a padded footbed and the Gucci monogram discreetly embossed at the insole.
13,Gucci V Black Sandals,9500,shoes/gucci 3.jpeg,Shoes,Gucci,Sleek black leather sandals with a geometric V-strap silhouette and gold-toned Gucci buckle.
14,Chanel Classic Plaited Dress,9500,clothes/chanel 1.jpeg,Clothes,Chanel,"An exquisite piece from Chanel's atelier featuring the house's signature plaited braid trim. Crafted from double-faced wool, this dress embodies understated Parisian chic."
15,Chanel Bosswoman Suit,16000,clothes/chanel 2.jpeg,Clothes,Chanel,"Power and femininity in perfect balance. This iconic Chanel tweed suit features contrast trim, gold-toned buttons, and a structured silhouette. A wardrobe cornerstone for the modern woman."
16,Chanel Plaited Knit Sweater,12500,clothes/chanel 3.jpeg,Clothes,Chanel,Luxurious cashmere-blend knit with Chanel's signature plaited detailing at the cuffs and hem. Effortlessly elegant and impeccably soft — the definition of quiet luxury.
17,Cartier Love 18k Yellow Gold Bracelet,14870,jewellery/cartier_bracelet.jpg,Jewellery,Cartier,"The iconic Cartier Love bracelet in 18k yellow gold. A symbol of eternal devotion, secured with a screwdriver — a timeless declaration of love worn by icons worldwide."
18,Bvlgari Serpenti Viper Bracelet 18k Rose Gold,50888,jewellery/bvlgari_bracelet.png,Jewellery,Bvlgari,"The seductive Serpenti Viper bracelet in 18k rose gold with pave diamonds. Inspired by the sinuous form of a snake, it wraps around the wrist in a bold declaration of luxury."
19,Tiffany and Co. Return to Tiffany Silver Necklace,1550,jewellery/tiffany_necklace.jpg,Jewellery,Tiffany and Co.,"The iconic Return to Tiffany heart tag pendant in sterling silver. A beloved symbol of connection and the unmistakable Tiffany legacy, worn by generations of jewellery lovers."
20,Dior Pearl Drop Earrings,2800,jewellery/dior_earrings.png,Jewellery,Dior,"Delicate pearl drop earrings bearing the signature CD logo. Refined and feminine, these earrings embody the timeless elegance of the House of Dior with a modern pearl twist."
21,Chanel CC Pearl Ring,3200,jewellery/chanel_ring.png,Jewellery,Chanel,The iconic double-C motif reimagined as a lustrous pearl ring. A wearable piece of Chanel heritage that bridges classic couture with contemporary jewellery design.
